"elderly_id","name","age","zipcode","city","state","needs"
36,"Ho, Thuc",83,71212,"Monroe","LA","Legal assistance referrals, Housekeeping, Arts and crafts activities, Assistive technology training, Financial management assistance (budgeting)"
37,"Blake, Lauren",89,33624,"Tampa","FL","Personal care (dressing, bathing - non-medical), Arts and crafts activities, Educational programs, Arts and crafts activities, Accessibility modifications (home), Respite care (for family caregivers), Grocery shopping, Pet care, Social event planning, Financial management assistance (budgeting)"
38,"Shabazz, Julia",71,19444,"Lafayette Hill","PA","Respite care (for family caregivers), Mental wellness support (non-clinical), Assistive technology training, Grocery shopping, Reading aloud (books, newspapers), Volunteer coordination, Educational programs, Home maintenance (minor repairs), Arts and crafts activities, Transportation to appointments"
39,"Gaffner, Darian",80,68783,"Verdigre","NE","Home maintenance (minor repairs), Arts and crafts activities, Educational programs, Mental wellness support (non-clinical), Personal care (dressing, bathing - non-medical)"
40,"Piazza, Yun",71,15422,"Chestnut Ridge","PA","Home maintenance (minor repairs), Fall prevention assistance, Gardening, Transportation to appointments, Personal care (dressing, bathing - non-medical)"
41,"Awolaja, Erin",81,24464,"Montebello","VA","Gardening, Gardening, Tech support (computers, phones), Arts and crafts activities, Errands (post office, dry cleaning), Errands (post office, dry cleaning), Transportation to appointments, Transportation to appointments, Home safety assessments"
42,"Garbani, Issac",82,54434,"Jump River","WI","Accessibility modifications (home)"
43,"Hudson, Brittany",85,61634,"Peoria","IL","Mental wellness support (non-clinical), Grocery shopping, Senior center activities, Social event planning, Senior center activities, Personal care (dressing, bathing - non-medical)"
44,"el-Salim, Haakima",67,79764,"Odessa","TX","Grocery shopping, Financial management assistance (budgeting), Tech support (computers, phones), Reading aloud (books, newspapers)"
45,"Patterson, Gage",94,49436,"Mears","MI","Transportation to appointments, Cooking meals, Cooking meals, Gardening"
46,"el-Ally, Saood",95,52544,"Centerville","IA","Social event planning, Social event planning, Reading aloud (books, newspapers), Arts and crafts activities, Educational programs, Assistive technology training"
47,"el-Sharifi, Amniyya",67,40215,"Louisville","KY","Accessibility modifications (home), Home maintenance (minor repairs)"
48,"Lewis, Darrell",76,50039,"Bouton","IA","Walking/exercise assistance, Fall prevention assistance"
49,"al-Kalil, Nadeem",86,74641,"Kaw City","OK","Walking/exercise assistance, Housekeeping, Accessibility modifications (home)"
50,"Le, Shoshana",68,97870,"Richland","OR","Transportation to appointments, Gardening, Fall prevention assistance, Financial management assistance (budgeting)"
51,"Russell, Dawit",71,30730,"Lyerly","GA","Transportation to appointments, Accessibility modifications (home), Senior center activities, Companionship (social activities), Educational programs, Playing games (cards, board games)"
52,"Ditlevson, Joshua",77,15434,"Elco","PA","Medication reminders (non-medical), Arts and crafts activities, Walking/exercise assistance, Fall prevention assistance, Assistive technology training, Respite care (for family caregivers), Gardening, Pet care"
53,"Dolson, Bradley",87,13628,"Deferiet","NY","Tech support (computers, phones)"
54,"Oh, Anthony",81,88021,"Anthony","NM","Pet care, Senior center activities, Transportation to appointments, Reading aloud (books, newspapers), Companionship (social activities), Mental wellness support (non-clinical), Gardening, Volunteer coordination, Errands (post office, dry cleaning), Tech support (computers, phones)"
55,"Castro, Leroy",73,85553,"Tonto Basin","AZ","Gardening, Cooking meals, Cooking meals, Fall prevention assistance, Walking/exercise assistance, Financial management assistance (budgeting)"
56,"Lawrence, Diana",66,78828,"Barksdale","TX","Travel companionship, Housekeeping, Medication reminders (non-medical)"
57,"Pino, Joseph",74,31402,"Savannah","GA","Home safety assessments, Transportation to appointments"
58,"Whiteskunk, Silas",95,98112,"Seattle","WA","Playing games (cards, board games), Pet care, Walking/exercise assistance, Educational programs, Volunteer coordination, Mental wellness support (non-clinical), Pet care, Home maintenance (minor repairs)"
59,"Carey, Kiet",83,40771,"Woodbine","KY","Housekeeping, Legal assistance referrals, Grocery shopping, Walking/exercise assistance, Personal care (dressing, bathing - non-medical), Walking/exercise assistance"
60,"Mcconnell, Tsavii",86,41143,"Grayson","KY","Fall prevention assistance, Medication reminders (non-medical), Music and entertainment, Playing games (cards, board games), Senior center activities, Educational programs"
61,"Donner, Alysia",65,85920,"Alpine","AZ","Volunteer coordination, Travel companionship, Housekeeping, Educational programs"
62,"Garner, Samuel",76,95615,"Courtland","CA","Volunteer coordination, Volunteer coordination, Gardening, Errands (post office, dry cleaning), Reading aloud (books, newspapers), Financial management assistance (budgeting), Volunteer coordination"
63,"Brown, Preston",72,66403,"Axtell","KS","Travel companionship, Home maintenance (minor repairs), Mental wellness support (non-clinical), Grocery shopping, Assistive technology training, Medication reminders (non-medical), Playing games (cards, board games), Personal care (dressing, bathing - non-medical)"
64,"al-Hakim, Zakiyya",74,63123,"Saint Louis","MO","Volunteer coordination, Educational programs, Gardening, Cooking meals, Financial management assistance (budgeting), Home safety assessments, Travel companionship, Personal care (dressing, bathing - non-medical), Arts and crafts activities, Financial management assistance (budgeting)"
65,"Pradhan, Mohini",86,56744,"Oslo","MN","Social event planning, Pet care, Personal care (dressing, bathing - non-medical), Errands (post office, dry cleaning)"
66,"Arroyo, Kayla",79,55431,"Minneapolis","MN","Playing games (cards, board games), Medication reminders (non-medical), Playing games (cards, board games), Personal care (dressing, bathing - non-medical), Pet care, Social event planning, Tech support (computers, phones), Financial management assistance (budgeting), Home safety assessments, Housekeeping"
67,"Jackson, Kacey",74,33017,"Hialeah","FL","Travel companionship, Personal care (dressing, bathing - non-medical), Fall prevention assistance, Reading aloud (books, newspapers), Gardening, Travel companionship, Home maintenance (minor repairs), Travel companionship, Companionship (social activities)"
68,"Yamada, Sharwagya",91,20206,"Washington","DC","Errands (post office, dry cleaning), Playing games (cards, board games), Educational programs, Reading aloud (books, newspapers), Companionship (social activities), Errands (post office, dry cleaning), Fall prevention assistance, Financial management assistance (budgeting)"
69,"Macwithey, Kaycee",82,66757,"Neodesha","KS","Medication reminders (non-medical), Assistive technology training, Reading aloud (books, newspapers), Travel companionship, Playing games (cards, board games), Travel companionship, Travel companionship, Mental wellness support (non-clinical)"
70,"Wynn, Antonio",73,31066,"Musella","GA","Cooking meals, Respite care (for family caregivers), Legal assistance referrals, Home maintenance (minor repairs), Companionship (social activities), Grocery shopping, Playing games (cards, board games), Reading aloud (books, newspapers)"
71,"Hatch, Avery",90,78463,"Corpus Christi","TX","Errands (post office, dry cleaning), Companionship (social activities)"
72,"Vang, Khoi",88,73531,"Devol","OK","Pet care, Housekeeping, Pet care, Playing games (cards, board games)"
73,"al-Mohiuddin, Mutee'a",78,17882,"Troxelville","PA","Cooking meals, Educational programs, Travel companionship, Errands (post office, dry cleaning), Walking/exercise assistance"
74,"al-Chahine, Saamyya",78,6105,"Hartford","CT","Cooking meals, Legal assistance referrals, Accessibility modifications (home), Housekeeping, Music and entertainment, Educational programs, Errands (post office, dry cleaning), Respite care (for family caregivers), Assistive technology training"
75,"Berg, Zachary",80,29846,"Sycamore","SC","Gardening"
76,"O'Hern, Michael",71,73942,"Guymon","OK","Cooking meals"
77,"Barros, Rodrigo",69,38361,"Morris Chapel","TN","Walking/exercise assistance, Respite care (for family caregivers), Cooking meals, Errands (post office, dry cleaning)"
78,"Patel, Kayli",71,3109,"Manchester","NH","Travel companionship, Playing games (cards, board games), Grocery shopping, Housekeeping, Gardening, Travel companionship"
79,"Edman, Jose",73,11954,"Montauk","NY","Arts and crafts activities, Music and entertainment, Financial management assistance (budgeting), Senior center activities, Tech support (computers, phones), Reading aloud (books, newspapers), Senior center activities"
80,"Powell, Kaylie",92,94134,"San Francisco","CA","Home safety assessments, Pet care, Pet care, Arts and crafts activities"
81,"Regan, Jeffrey",92,43618,"Oregon","OH","Music and entertainment"
82,"Bunch, Cristian",89,13505,"Utica","NY","Transportation to appointments, Music and entertainment, Educational programs, Playing games (cards, board games), Walking/exercise assistance"
83,"Cunningham, James",88,58713,"Bantry","ND","Senior center activities, Home safety assessments, Accessibility modifications (home), Arts and crafts activities, Legal assistance referrals, Travel companionship, Fall prevention assistance, Companionship (social activities), Companionship (social activities)"
84,"Blood, Akeem",89,22748,"Wolftown","VA","Arts and crafts activities, Travel companionship, Social event planning, Financial management assistance (budgeting), Financial management assistance (budgeting), Assistive technology training, Home maintenance (minor repairs)"
85,"Van, Kelly",81,15545,"Hyndman","PA","Reading aloud (books, newspapers), Volunteer coordination, Pet care, Reading aloud (books, newspapers), Arts and crafts activities, Mental wellness support (non-clinical), Music and entertainment, Personal care (dressing, bathing - non-medical)"
86,"Hall, Courtney",67,60305,"River Forest","IL","Mental wellness support (non-clinical), Social event planning, Financial management assistance (budgeting)"
87,"Mitchell, Lonnie",91,23119,"Moon","VA","Playing games (cards, board games), Educational programs, Accessibility modifications (home)"
88,"al-Farman, Yahya",74,10211,"New York","NY","Playing games (cards, board games), Respite care (for family caregivers), Fall prevention assistance, Senior center activities, Financial management assistance (budgeting), Accessibility modifications (home), Accessibility modifications (home), Mental wellness support (non-clinical), Home safety assessments"
89,"Wilkerson, Brandon",87,37644,"Elizabethton","TN","Playing games (cards, board games), Financial management assistance (budgeting), Pet care, Senior center activities, Music and entertainment, Financial management assistance (budgeting), Walking/exercise assistance, Accessibility modifications (home), Home maintenance (minor repairs), Assistive technology training"
90,"Kol, Cindy",78,27823,"Enfield","NC","Music and entertainment, Errands (post office, dry cleaning)"
91,"Duplan, Brendan",86,57238,"Goodwin","SD","Accessibility modifications (home), Reading aloud (books, newspapers), Housekeeping, Personal care (dressing, bathing - non-medical)"
92,"Hong, Elizabeth",91,14413,"Alton","NY","Errands (post office, dry cleaning), Errands (post office, dry cleaning), Tech support (computers, phones), Walking/exercise assistance, Legal assistance referrals, Pet care, Volunteer coordination, Personal care (dressing, bathing - non-medical), Gardening, Cooking meals"
93,"al-Sharifi, Siraaj",87,99704,"Clear","AK","Volunteer coordination, Travel companionship, Gardening, Transportation to appointments, Educational programs, Gardening, Reading aloud (books, newspapers)"
94,"Winter, Veronica",78,77327,"Cleveland","TX","Accessibility modifications (home), Music and entertainment, Social event planning, Arts and crafts activities, Legal assistance referrals, Volunteer coordination, Travel companionship, Volunteer coordination, Senior center activities, Educational programs"
95,"Snodgrass, Kylee",86,56223,"Clarkfield","MN","Assistive technology training, Educational programs, Music and entertainment, Home maintenance (minor repairs), Home safety assessments, Pet care"
96,"Buser, Terrance",91,73014,"Calumet","OK","Arts and crafts activities, Accessibility modifications (home), Gardening, Medication reminders (non-medical), Educational programs"
97,"Nguyen, Amalia",85,5903,"Canaan","VT","Transportation to appointments, Companionship (social activities), Personal care (dressing, bathing - non-medical), Travel companionship"
98,"Sandoval, Victor",65,78026,"Jourdanton","TX","Social event planning, Home safety assessments, Grocery shopping, Financial management assistance (budgeting), Home safety assessments, Medication reminders (non-medical), Pet care, Accessibility modifications (home), Travel companionship, Reading aloud (books, newspapers)"
99,"Decoud, Precious",69,71259,"Mangham","LA","Educational programs, Housekeeping, Companionship (social activities)"
100,"Johnson, Dylan",73,27879,"Simpson","NC","Music and entertainment, Respite care (for family caregivers), Legal assistance referrals, Tech support (computers, phones), Cooking meals, Housekeeping, Cooking meals, Home maintenance (minor repairs)"
101,"Hopson, Branden",93,38235,"Mc Lemoresville","TN","Travel companionship, Accessibility modifications (home), Playing games (cards, board games), Educational programs"
102,"Sauls, Cecelia",92,93741,"Fresno","CA","Cooking meals, Home maintenance (minor repairs), Mental wellness support (non-clinical), Legal assistance referrals, Errands (post office, dry cleaning), Cooking meals, Personal care (dressing, bathing - non-medical)"
103,"Joy, Lars",95,90293,"Playa Del Rey","CA","Legal assistance referrals"
104,"el-Khan, Ghaaliba",94,3033,"Brookline","NH","Grocery shopping, Senior center activities, Playing games (cards, board games), Playing games (cards, board games), Music and entertainment, Playing games (cards, board games), Housekeeping, Financial management assistance (budgeting), Volunteer coordination, Medication reminders (non-medical)"
105,"Hawkins, Destinee",71,24133,"Patrick Springs","VA","Music and entertainment"
106,"Faulkner, Laura",77,34264,"Oneco","FL","Senior center activities"
107,"Montgomery, Shantae",81,28407,"Wilmington","NC","Home maintenance (minor repairs), Personal care (dressing, bathing - non-medical), Financial management assistance (budgeting), Cooking meals, Senior center activities"
108,"Dunn, Kaylee",80,12053,"Delanson","NY","Fall prevention assistance, Travel companionship, Arts and crafts activities, Senior center activities, Home safety assessments"
109,"Vang, Eric",79,55113,"Saint Paul","MN","Grocery shopping, Home safety assessments"
110,"Gonzales, Jaanai",65,28090,"Lawndale","NC","Personal care (dressing, bathing - non-medical), Accessibility modifications (home), Cooking meals"
111,"el-Rizk, Rasheeq",67,60504,"Aurora","IL","Errands (post office, dry cleaning)"
112,"al-Bey, Ramalaan",74,60469,"Posen","IL","Reading aloud (books, newspapers)"
113,"Fox, Opheal",83,7012,"Clifton","NJ","Personal care (dressing, bathing - non-medical), Music and entertainment, Reading aloud (books, newspapers), Companionship (social activities), Medication reminders (non-medical), Social event planning, Respite care (for family caregivers), Companionship (social activities)"
114,"al-Rauf, Husniyya",82,15560,"Shanksville","PA","Respite care (for family caregivers), Companionship (social activities), Errands (post office, dry cleaning), Personal care (dressing, bathing - non-medical)"
115,"Valenzuela Salcedo, Ana",68,62880,"Saint Peter","IL","Errands (post office, dry cleaning), Pet care, Educational programs, Cooking meals, Assistive technology training, Travel companionship, Legal assistance referrals, Travel companionship, Travel companionship"
116,"Martinez, Alexandra",73,64067,"Lexington","MO","Companionship (social activities)"
117,"Alfaro, Brittany",81,75763,"Frankston","TX","Senior center activities, Errands (post office, dry cleaning), Financial management assistance (budgeting), Arts and crafts activities, Pet care, Cooking meals, Companionship (social activities), Fall prevention assistance, Senior center activities, Personal care (dressing, bathing - non-medical)"
118,"Harrington, Marisa",69,35471,"Mc Shan","AL","Assistive technology training, Assistive technology training"
119,"el-Rahim, Khaalida",79,99670,"South Naknek","AK","Housekeeping, Walking/exercise assistance, Social event planning"
120,"Miley, Mohammad Amir",91,3832,"Eaton Center","NH","Senior center activities, Gardening, Volunteer coordination, Mental wellness support (non-clinical), Pet care, Transportation to appointments, Fall prevention assistance, Grocery shopping, Medication reminders (non-medical)"
121,"Jones, Marley",69,37938,"Knoxville","TN","Mental wellness support (non-clinical), Companionship (social activities), Gardening, Assistive technology training, Reading aloud (books, newspapers), Fall prevention assistance, Medication reminders (non-medical), Grocery shopping, Arts and crafts activities, Errands (post office, dry cleaning)"
122,"Hinojos Ordonez, German",85,22821,"Dayton","VA","Respite care (for family caregivers), Grocery shopping, Reading aloud (books, newspapers), Mental wellness support (non-clinical), Educational programs, Music and entertainment, Playing games (cards, board games), Walking/exercise assistance, Volunteer coordination"
123,"Bohland, Joseph",78,25723,"Huntington","WV","Walking/exercise assistance"
124,"Etsitty, Ryan",78,15851,"Reynoldsville","PA","Mental wellness support (non-clinical), Reading aloud (books, newspapers), Mental wellness support (non-clinical), Respite care (for family caregivers), Medication reminders (non-medical)"
125,"Muckom, Blake",91,98554,"Lebam","WA","Playing games (cards, board games), Assistive technology training, Pet care, Home safety assessments, Respite care (for family caregivers), Fall prevention assistance, Home maintenance (minor repairs)"
126,"Gonzalez, Israel",93,60045,"Lake Forest","IL","Fall prevention assistance, Volunteer coordination, Grocery shopping, Assistive technology training, Housekeeping, Companionship (social activities), Reading aloud (books, newspapers), Pet care, Home maintenance (minor repairs), Educational programs"
127,"Collins, Dakota",90,5042,"East Ryegate","VT","Fall prevention assistance, Senior center activities, Assistive technology training, Music and entertainment, Arts and crafts activities, Personal care (dressing, bathing - non-medical), Arts and crafts activities, Respite care (for family caregivers), Playing games (cards, board games)"
128,"Sweetwater, Dustyn",95,84725,"Enterprise","UT","Home maintenance (minor repairs)"
129,"Massey, Donyae",74,51346,"Hartley","IA","Arts and crafts activities, Assistive technology training, Educational programs, Social event planning, Senior center activities, Transportation to appointments"
130,"Brevig, Jason",80,31727,"Brookfield","GA","Fall prevention assistance, Grocery shopping, Home maintenance (minor repairs), Assistive technology training, Errands (post office, dry cleaning)"
131,"Anderson, Preston",89,17271,"Willow Hill","PA","Music and entertainment, Travel companionship, Legal assistance referrals, Legal assistance referrals, Walking/exercise assistance, Social event planning"
132,"Madrid, Emily",70,67629,"Clayton","KS","Housekeeping, Pet care, Reading aloud (books, newspapers), Cooking meals, Transportation to appointments, Financial management assistance (budgeting), Respite care (for family caregivers), Gardening"
133,"Nishida, Chia-Hsin",94,48462,"Ortonville","MI","Gardening, Gardening, Transportation to appointments"
134,"Borunda, Sadyan",85,15370,"Waynesburg","PA","Social event planning"
135,"Apodaca, Tamara",76,73716,"Aline","OK","Gardening, Housekeeping, Tech support (computers, phones), Legal assistance referrals, Transportation to appointments, Fall prevention assistance, Senior center activities, Playing games (cards, board games), Walking/exercise assistance, Medication reminders (non-medical)"
136,"Heard, Jordan",66,10101,"New York","NY","Home maintenance (minor repairs), Playing games (cards, board games), Financial management assistance (budgeting), Educational programs, Medication reminders (non-medical), Housekeeping, Transportation to appointments"
137,"Brown, Shawn",92,46538,"Leesburg","IN","Tech support (computers, phones), Educational programs, Playing games (cards, board games)"
138,"Ray, Nicholas",73,88532,"El Paso","TX","Senior center activities"
139,"Bird, Briana",93,97041,"Mount Hood Parkdale","OR","Financial management assistance (budgeting), Financial management assistance (budgeting), Respite care (for family caregivers)"
140,"Mcrae, Samuel",91,51034,"Mapleton","IA","Social event planning, Transportation to appointments, Legal assistance referrals, Accessibility modifications (home)"
141,"Aguilar, Brenda",82,78584,"Roma","TX","Grocery shopping, Social event planning, Accessibility modifications (home), Fall prevention assistance, Social event planning, Reading aloud (books, newspapers)"
142,"al-Shakir, Mahdeeya",83,85931,"Forest Lakes","AZ","Playing games (cards, board games), Grocery shopping"
143,"Medrano, Matthew",94,74960,"Stilwell","OK","Accessibility modifications (home), Legal assistance referrals, Educational programs, Reading aloud (books, newspapers), Reading aloud (books, newspapers), Pet care, Respite care (for family caregivers), Companionship (social activities)"
144,"Gruber, Alexandra",83,43782,"Shawnee","OH","Gardening"
145,"el-Abdella, Jasoor",87,52070,"Sabula","IA","Financial management assistance (budgeting), Playing games (cards, board games), Tech support (computers, phones), Home safety assessments, Medication reminders (non-medical)"
146,"Oh, Joshua",84,5740,"East Middlebury","VT","Legal assistance referrals, Educational programs, Music and entertainment, Reading aloud (books, newspapers), Personal care (dressing, bathing - non-medical), Accessibility modifications (home), Medication reminders (non-medical), Home safety assessments"
147,"Devooght, Emily",72,68638,"Fullerton","NE","Reading aloud (books, newspapers), Tech support (computers, phones), Walking/exercise assistance"
148,"La, Min",66,62427,"Flat Rock","IL","Fall prevention assistance, Senior center activities, Companionship (social activities), Housekeeping"
149,"Alvarado, Susan",70,39653,"Meadville","MS","Senior center activities, Errands (post office, dry cleaning), Home safety assessments, Home safety assessments, Assistive technology training, Arts and crafts activities, Grocery shopping"
150,"Corbett, Kayla",78,30305,"Atlanta","GA","Personal care (dressing, bathing - non-medical), Arts and crafts activities, Assistive technology training, Grocery shopping, Cooking meals, Educational programs, Travel companionship, Music and entertainment, Social event planning, Educational programs"
151,"el-Maroun, Abdul Hameed",93,69022,"Cambridge","NE","Grocery shopping, Tech support (computers, phones), Medication reminders (non-medical)"
152,"Judkins, Eric",76,43279,"Columbus","OH","Travel companionship, Tech support (computers, phones), Companionship (social activities)"
153,"Dessie, Essence",76,98507,"Olympia","WA","Financial management assistance (budgeting)"
154,"San Miguel, Brandon",72,61554,"Pekin","IL","Music and entertainment, Tech support (computers, phones), Mental wellness support (non-clinical), Fall prevention assistance, Home safety assessments, Educational programs"
155,"al-Din, Raafida",65,36142,"Montgomery","AL","Assistive technology training, Transportation to appointments, Reading aloud (books, newspapers), Pet care, Accessibility modifications (home), Senior center activities, Travel companionship, Financial management assistance (budgeting), Senior center activities, Pet care"
156,"Herrera, James",86,44076,"Orwell","OH","Personal care (dressing, bathing - non-medical), Educational programs"
157,"Rocha, Jordan",73,62894,"Waltonville","IL","Home safety assessments, Companionship (social activities), Grocery shopping, Respite care (for family caregivers), Assistive technology training, Fall prevention assistance, Home safety assessments, Housekeeping"
158,"Hill, Cairra",71,98375,"Puyallup","WA","Home safety assessments, Financial management assistance (budgeting), Music and entertainment"
159,"Cuizon, Tia",65,35619,"Danville","AL","Home maintenance (minor repairs), Fall prevention assistance, Music and entertainment, Housekeeping"
160,"Whittington, Natasha",65,45839,"Findlay","OH","Home maintenance (minor repairs)"
161,"Campos, Ashley",95,36319,"Columbia","AL","Transportation to appointments, Playing games (cards, board games), Medication reminders (non-medical), Educational programs, Housekeeping, Volunteer coordination, Accessibility modifications (home), Companionship (social activities), Companionship (social activities)"
162,"Dominguez Palacios, Eric",81,32464,"Westville","FL","Personal care (dressing, bathing - non-medical), Volunteer coordination, Cooking meals, Personal care (dressing, bathing - non-medical), Home safety assessments, Transportation to appointments, Assistive technology training, Pet care, Errands (post office, dry cleaning)"
163,"Griego, Ana",82,92158,"San Diego","CA","Tech support (computers, phones), Arts and crafts activities, Mental wellness support (non-clinical), Tech support (computers, phones), Reading aloud (books, newspapers), Pet care, Volunteer coordination, Grocery shopping, Errands (post office, dry cleaning), Grocery shopping"
164,"Donez, Madelline",83,25428,"Inwood","WV","Fall prevention assistance, Mental wellness support (non-clinical), Transportation to appointments, Grocery shopping, Cooking meals"
165,"Palaniappan, Janice",75,95910,"Alleghany","CA","Respite care (for family caregivers), Volunteer coordination, Educational programs, Home maintenance (minor repairs), Gardening, Senior center activities, Walking/exercise assistance"
