"volunteer_id","name","major_city","state","lat","lng","availability","radius_willingness","acceptance_probability"
47,"Benavidez, Oliver","Great Falls","MT",47.3,-111.2,"Sun 12-3, Fri 12-3, Fri 9-12",20,0.522888785926625
48,"el-Abood, Naseer","Princeville","HI",22.16,-159.46,"Tue 3-6, Thu 9-12, Fri 12-3",29,0.656106724520214
49,"el-Ahmed, Ismaeel","Puyallup","WA",47.15,-122.32,"Wed 12-3, Sat 3-6, Fri 3-6",30,0.99114680965431
50,"Blakey, Ashley","Dover","NH",NA,NA,"Wed 3-6, Sun 3-6, Sun 3-6",29,0.941285053733736
51,"Chandramouli, Emlynn","Seymour","IA",40.7,-93.2,"Sat 12-3, Mon 12-3",18,0.66075189912226
52,"Sarmiento, Meaghan","Oakley","KS",39,-100.9,"Thu 6-9, Mon 9-12, Fri 9-12",16,0.512590518104844
53,"Garza, Juan","Cary","NC",35.73,-78.77,"Tue 12-3, Thu 12-3, Sun 9-12",30,0.736779924132861
54,"Nguyen, Amy","Toledo","OH",41.65,-83.51,"Tue 3-6, Sat 12-3",14,0.591573111014441
55,"el-Jaber, Shaafia","Pompano Beach","FL",NA,NA,"Sun 3-6, Sat 6-9",30,0.794475709903054
56,"al-Dib, Ramziyya","Minneapolis","MN",NA,NA,"Thu 9-12, Thu 12-3",20,0.876688071060926
57,"el-Bagheri, Fawqiyya","Flint","MI",43.06,-83.75,"Mon 9-12, Mon 9-12, Mon 12-3",22,0.637070483062416
58,"Flood, Elijah","South Otselic","NY",42.66,-75.77,"Wed 9-12, Fri 3-6, Fri 6-9",20,0.510196311981417
59,"el-Pirani, Kaarim","Greenville","WV",37.53,-80.67,"Sat 6-9, Tue 3-6",29,0.969891444081441
60,"Bottorff, William","Twain Harte","CA",38.05,-120.24,"Thu 12-3, Mon 9-12, Fri 3-6",21,0.64029802067671
61,"Roybal, Amelia","Columbus","OH",40.02,-83.02,"Sat 9-12, Sun 6-9, Wed 9-12",21,0.688026412972249
62,"Smith, Rylie","Pleasant Hope","MO",37.45,-93.27,"Fri 3-6, Sun 6-9",28,0.998490508762188
63,"Salas, Joachim","Destin","FL",30.4,-86.46,"Wed 12-3, Fri 3-6",12,0.860755705973133
64,"Jelly, Mary","Birdseye","IN",38.3,-86.7,"Tue 3-6, Thu 6-9, Tue 6-9",18,0.550447759800591
65,"Pacheco, Alexis","Somerville","OH",39.6,-84.6,"Fri 12-3, Sat 12-3, Sun 3-6",14,0.673731035320088
66,"Gutierrez, Zachary","Woodville","OH",41.46,-83.36,"Fri 6-9, Sun 6-9",27,0.76778333587572
67,"Eckley, Demetris","Eucha","OK",36.4,-94.9,"Tue 9-12, Fri 9-12",24,0.536773639614694
68,"al-Abbasi, Jawhar","Gilman","CT",41.58,-72.19,"Thu 3-6, Sat 9-12, Tue 12-3",26,0.625255601829849
69,"Hickam, April","Elko","GA",32.3,-83.7,"Thu 6-9, Mon 3-6",28,0.525458213756792
70,"al-Miah, Mufeed","Ong","NE",40.39,-97.87,"Fri 3-6, Sat 12-3",18,0.780254047596827
71,"Bradford, Marcus","Battleboro","NC",36,-77.8,"Wed 3-6, Sat 3-6",29,0.515330058289692
72,"el-Sahli, Saajida","Forest Park","GA",NA,NA,"Sat 3-6, Thu 3-6",12,0.644137860042974
73,"el-Munir, Saabir","Claiborne","MD",38.837,-76.279,"Mon 12-3, Wed 6-9",21,0.924999257549644
74,"al-Ahmadi, Hibbaan","Falls Village","CT",41.96,-73.32,"Fri 12-3, Fri 3-6, Wed 9-12",20,0.829722304129973
75,"el-Rahaman, Shadhaa","Hollywood","FL",25.99,-80.4,"Mon 9-12, Mon 9-12, Mon 3-6",26,0.67236575728748
76,"al-Majid, Jawhara","Carney","MI",45.6,-87.5,"Sat 12-3, Thu 9-12",27,0.867645250633359
77,"Encinias, Rocio","Rossville","IN",40.43,-86.61,"Tue 9-12, Wed 9-12, Sun 12-3",12,0.792995137860999
78,"Nededog, Kelly","Savannah","TN",35.2,-88.2,"Fri 12-3, Mon 9-12",30,0.529911510413513
79,"Garcia-Zamora, Escarly","El Paso","TX",31.78,-106.5,"Sun 9-12, Wed 12-3",15,0.685055107460357
80,"Jackson, Jamila","Long Grove","IA",41.7,-90.5,"Thu 9-12, Wed 12-3",22,0.861808701767586
81,"Carter, Natasha","Glendale","AZ",33.62,-112.18,"Mon 3-6, Fri 6-9, Wed 6-9",29,0.755967307835817
82,"Zuniga, Cecilia","Auburn","KS",38.9,-95.8,"Sun 12-3, Mon 6-9, Sun 9-12",28,0.526655309135094
83,"Robinson, Trent","Malin","OR",42.05,-121.43,"Mon 12-3, Sat 9-12, Fri 3-6",11,0.948839557124302
84,"Walker, D'Andre","Lavalette","WV",38.3,-82.4,"Mon 6-9, Fri 6-9",20,0.612395695759915
85,"Snow, Hament","Owensboro","KY",NA,NA,"Tue 3-6, Wed 6-9, Thu 9-12",19,0.897653485066257
86,"Strader, Carl","Bahama","NC",36.15,-78.88,"Sat 6-9, Mon 12-3, Tue 12-3",13,0.949677113094367
87,"al-Siddique, Abood","Volcano","HI",19.433,-155.234,"Sat 6-9, Sat 9-12, Sat 3-6",13,0.955101146013476
88,"Hammon, Alexandria","Indianapolis","IN",NA,NA,"Tue 6-9, Tue 6-9",15,0.762023692717776
89,"Patterson, Elijah","Otis","OR",45,-123.9,"Thu 9-12, Thu 9-12, Sat 3-6",14,0.869464590679854
90,"Mapa, Sunnynam","Saint Johns","OH",40.6,-84.1,"Mon 3-6, Sun 3-6, Thu 3-6",13,0.991021925699897
91,"Mclean, Dawnee","Kennesaw","GA",NA,NA,"Sat 12-3, Tue 6-9, Tue 6-9",14,0.908792756265029
92,"Cleavenger, Erin","Albany","NY",NA,NA,"Tue 9-12, Tue 9-12",17,0.883200990501791
93,"Cordova, Jose","Chagrin Falls","OH",41.4,-81.3,"Sat 3-6, Sat 3-6, Sat 6-9",12,0.557185591082089
94,"Jones, John","Bellflower","CA",33.89,-118.13,"Thu 12-3, Sat 3-6, Tue 9-12",29,0.978063918882981
95,"Boyd, Abigail","Lester","IA",43.44,-96.34,"Sat 6-9, Fri 3-6, Sun 6-9",10,0.590781759470701
96,"Sandoval, Janette","Brazil","IN",39.5,-87.1,"Thu 12-3, Sun 3-6, Fri 12-3",17,0.519766297889873
97,"Tyson, Andre","Scott City","MO",37.1,-89.5,"Thu 3-6, Tue 3-6",20,0.591566752991639
98,"Barrett, Tyalisha","Atlanta","GA",33.93,-84.4,"Tue 6-9, Sat 6-9",23,0.656293098931201
99,"Marquez, Richard","Franklin","VA",36.7,-77,"Tue 6-9, Thu 3-6, Fri 9-12",18,0.550815027905628
100,"Rendler, Brian","South Rockwood","MI",42.04,-83.26,"Mon 3-6, Mon 6-9",19,0.601048762677237
101,"el-Matar, Faatih","Albany","NY",42.68,-73.83,"Sun 9-12, Tue 9-12",15,0.636229930329137
102,"Bishop, Faunte","Corpus Christi","TX",27.73,-97.39,"Sun 6-9, Wed 12-3",27,0.960396355600096
103,"Rozales, Michael","Bogota","TN",36.163,-89.438,"Sun 12-3, Thu 12-3",13,0.741256786393933
104,"al-Ismael, Zaahid","New Orleans","LA",29.91,-89.96,"Thu 3-6, Sat 9-12, Mon 12-3",25,0.646431209286675
105,"Salais, Valeska","Cambra","PA",NA,NA,"Mon 12-3, Tue 12-3",10,0.693013482843526
106,"Royston, Atta","Fort Edward","NY",43.2,-73.6,"Wed 6-9, Sun 9-12",11,0.701703538070433
107,"al-Baig, Khaalida","Spring Valley","NY",41.12,-74.05,"Mon 12-3, Sat 6-9, Sun 3-6",19,0.931052563595586
108,"Anderson, Daniel","Augusta","WV",39.3,-78.6,"Tue 12-3, Mon 12-3, Fri 12-3",12,0.672689896891825
109,"Hanninen, Kebrom","Flushing","NY",NA,NA,"Fri 12-3, Sun 9-12, Wed 3-6",26,0.841943108243868
110,"Tani, Leah","Orderville","UT",37.276,-112.637,"Sun 6-9, Wed 9-12",12,0.566496711224318
111,"al-Yusuf, Kaalim","Naples","FL",26.25,-81.81,"Wed 9-12, Wed 12-3",27,0.609379511559382
112,"al-Kamel, Muneef","Manchester","MA",42.58,-70.76,"Sun 6-9, Fri 3-6, Tue 3-6",23,0.939507215516642
113,"Garcia, Charline","Syracuse","NY",43.13,-76.13,"Mon 3-6, Wed 6-9",26,0.654668013565242
114,"al-Hameed, Hasana","Palm Bay","FL",NA,NA,"Tue 3-6, Mon 9-12, Sat 9-12",19,0.668677007895894
115,"Berumen, Jesus","Crozier","VA",37.66,-77.81,"Fri 3-6, Sat 12-3, Wed 3-6",17,0.935050410451367
116,"el-Yousuf, Saajid","Oklahoma City","OK",NA,NA,"Sat 6-9, Thu 3-6",28,0.929646772216074
117,"Lucero, Francisco","Fayette","AL",33.6,-87.8,"Thu 9-12, Tue 9-12, Thu 6-9",10,0.52409296145197
118,"al-Kaiser, Ayyoob","Whitesboro","NY",43.12,-75.32,"Mon 6-9, Mon 6-9, Mon 9-12",13,0.656610949197784
119,"Perez Garcia, Marlene","Columbus","IN",39.2,-85.8,"Mon 6-9, Sat 3-6, Fri 12-3",26,0.67982035537716
120,"Grimes, Indonesia","Sevierville","TN",35.9,-83.5,"Sun 6-9, Mon 3-6",29,0.824578884057701
121,"Acosta, Gabriel","Londonderry","NH",42.9,-71.4,"Thu 3-6, Wed 12-3",28,0.673282685107552
122,"Lawton, Wyatt","Wachapreague","VA",37.605,-75.689,"Sun 9-12, Thu 3-6, Fri 6-9",28,0.621996931033209
123,"el-Agha, Aayaat","Risingsun","OH",41.26,-83.42,"Fri 9-12, Thu 6-9",11,0.633937605656683
124,"Alsup, Elizabeth","Naples","FL",26.27,-81.72,"Fri 6-9, Wed 3-6",26,0.529728746856563
125,"Casburn, Kyle","South Plainfield","NJ",40.57,-74.41,"Sat 3-6, Tue 9-12",18,0.752057909150608
126,"Kim, Jien","Jonesboro","GA",33.53,-84.33,"Mon 12-3, Tue 12-3",28,0.736139722866938
127,"al-Rasul, Munisa","Torrance","CA",33.83,-118.29,"Thu 6-9, Tue 6-9, Thu 3-6",10,0.526169885066338
128,"Henderson, Caylene","Carson","NM",36.4,-105.81,"Mon 12-3, Wed 12-3",28,0.693958319490775
129,"al-Quadri, Shafeeqa","Spout Spring","VA",37.32,-78.92,"Sun 9-12, Sun 9-12",17,0.556988631491549
130,"el-Ishak, Imraan","Pippa Passes","KY",37.34,-82.87,"Sat 3-6, Thu 12-3",29,0.616705043707043
131,"al-Rehman, Sharaf","Charleston","MO",36.9,-89.3,"Fri 9-12, Fri 6-9",24,0.92514284257777
132,"Gomez, Gabriela","Pikeville","KY",37.5,-82.5,"Sun 12-3, Thu 12-3, Wed 12-3",25,0.582425338914618
133,"Wilson, Tyahna","Wichita","KS",37.61,-97.36,"Mon 3-6, Mon 9-12",13,0.952242013299838
134,"Plunkett-Eliott, Brielle","Inglewood","CA",NA,NA,"Fri 6-9, Sat 6-9",22,0.52299820818007
135,"el-Vaziri, Shaimaaa","Ellijay","GA",34.7,-84.5,"Thu 3-6, Sat 3-6",14,0.54645646433346
136,"Smith, Marquione","Grain Valley","MO",39,-94.2,"Thu 9-12, Fri 9-12, Sat 3-6",11,0.757161985035054
137,"el-Ishak, Kareema","Pittsfield","ME",44.8,-69.4,"Fri 12-3, Fri 9-12",29,0.620229680673219
138,"al-Emami, Faraah","Sun City","KS",37.3,-98.9,"Sun 6-9, Wed 3-6, Thu 6-9",10,0.643924486357719
139,"el-Mina, Unais","Glade Hill","VA",37,-79.76,"Tue 6-9, Thu 6-9, Tue 9-12",24,0.847194901434705
140,"Chadwick, Adrienne","Viper","KY",37.1,-83.1,"Fri 6-9, Wed 6-9",18,0.909549191710539
141,"Risenhoover, Alex","Dayton","OH",39.73,-84.03,"Fri 12-3, Thu 12-3",22,0.864596361876465
142,"Warwick, Kavita","Mesa","AZ",33.38,-111.88,"Tue 6-9, Fri 6-9, Tue 9-12",29,0.850561143015511
143,"Mead, Michael","Washington","DC",NA,NA,"Fri 6-9, Wed 9-12",26,0.535015109810047
144,"Martinez, James","Grand Rivers","KY",37.1,-88.3,"Thu 3-6, Wed 3-6, Sun 12-3",20,0.957878189976327
145,"el-Hares, Humaira","Atlantic Beach","NY",40.59,-73.73,"Tue 3-6, Sun 12-3",21,0.887982142157853
146,"el-Wahba, Afaaf","Oak Hill","FL",28.9,-80.9,"Sat 9-12, Tue 9-12",25,0.956569224363193
147,"Tamura, Julius","Detroit","MI",42.38,-83.05,"Sun 9-12, Fri 12-3, Wed 3-6",26,0.977339845499955
148,"el-Mohammad, Widdad","Monticello","IA",42.2,-91.2,"Sun 6-9, Wed 9-12, Mon 9-12",19,0.601106710149907
149,"Smith, Orion","Franklinton","LA",30.8,-90.1,"Tue 9-12, Sun 3-6",23,0.691812579170801
150,"el-Siddiqui, Faatih","West Fulton","NY",42.53,-74.46,"Tue 12-3, Thu 12-3",28,0.826296140206978
151,"Polk, Jared","Kansas City","MO",38.85,-94.55,"Sat 3-6, Mon 6-9, Mon 6-9",22,0.601444824016653
152,"Cox, Kidryn","Antimony","UT",38,-112.1,"Thu 9-12, Mon 9-12, Thu 9-12",28,0.955492311273701
153,"Johnson, Brendan","Willis","TX",30.5,-95.4,"Mon 3-6, Fri 6-9, Sun 12-3",19,0.816127742175013
154,"Wright, Amber","Auxier","KY",37.74,-82.76,"Fri 6-9, Sun 3-6, Mon 9-12",14,0.751054402324371
155,"Wilkes, Matthew","Salem","OR",44.91,-123.05,"Wed 3-6, Thu 9-12, Wed 6-9",15,0.96449610334821
156,"Reynolds, Shoshana","Hancock","MN",45.5,-95.7,"Thu 3-6, Sat 6-9",27,0.617306602885947
157,"Chandler, Ian","Seattle","WA",47.55,-122.26,"Mon 9-12, Sat 6-9, Fri 3-6",14,0.880412326543592
158,"Bhagria, Alexandra","Masonville","CO",NA,NA,"Mon 6-9, Fri 12-3, Sun 6-9",20,0.918361082440242
159,"Cuevas, John","Warren","MI",NA,NA,"Wed 12-3, Fri 6-9",14,0.603582197916694
160,"al-Amini, Lubaaba","Christoval","TX",31.1,-100.4,"Thu 12-3, Tue 6-9, Sat 12-3",30,0.585796799627133
161,"Cooter, Kelyn","Indian Lake","NY",43.7,-74.3,"Fri 3-6, Wed 12-3",26,0.659101211000234
162,"Lafferty, Brandi","Cuney","TX",32.04,-95.42,"Tue 6-9, Fri 12-3, Wed 3-6",11,0.743239303352311
163,"al-Salem, Saafiyya","Saddlestring","WY",NA,NA,"Thu 9-12, Wed 12-3, Sat 9-12",24,0.632293370901607
164,"Gentry, Cyra","Charlestown","RI",41.4,-71.66,"Sat 3-6, Thu 9-12",30,0.552158078877255
165,"Graham, Miranda","Sidney","OH",NA,NA,"Fri 12-3, Wed 3-6, Fri 3-6",15,0.621112689026631
166,"Rodriguez, Sandy","Follett","TX",36.4,-100.2,"Tue 12-3, Sat 6-9",16,0.747713646036573
167,"el-Mousa, Isaam","Rapid River","MI",45.9,-86.8,"Sun 3-6, Sat 3-6",13,0.743088341900147
168,"Massey, Xavier","Plattsburgh","NY",44.65,-73.47,"Fri 3-6, Thu 6-9",30,0.994099331670441
169,"Rodgers, Adriel","Canton","OH",NA,NA,"Fri 9-12, Wed 3-6",25,0.806833738461137
170,"Garcia, Carolina","Kennard","IN",39.904,-85.518,"Sun 9-12, Sun 9-12, Wed 9-12",19,0.761346838669851
171,"Sypher, Katrina","Magnolia","NJ",39.85,-75.04,"Fri 9-12, Sun 9-12",25,0.649253604351543
172,"Irwin, Jo-El","Tyler","AL",32.3,-86.8,"Mon 3-6, Mon 3-6",17,0.765158683992922
173,"Taylor, Jordan","Sedgwick","KS",37.9,-97.5,"Thu 6-9, Fri 6-9, Fri 9-12",24,0.620242002769373
174,"Ortega, Joshua","Searcy","AR",NA,NA,"Mon 9-12, Wed 6-9",19,0.58075280149933
175,"Brassard, Tyreisha","North Middletown","KY",NA,NA,"Tue 6-9, Fri 3-6",13,0.613176039070822
176,"Koughn, Derrick","Charlottesville","VA",NA,NA,"Sat 12-3, Wed 6-9, Tue 3-6",29,0.858275793609209
177,"Whipple, Wyatt","Bell Gardens","CA",33.98,-118.17,"Fri 12-3, Wed 6-9",19,0.583784260554239
178,"Charley, Dlisa","Arnold","MI",46.11,-87.44,"Mon 9-12, Mon 12-3, Tue 12-3",14,0.670000000158325
179,"Jordan, Andres","Redway","CA",40.13,-123.85,"Tue 6-9, Tue 6-9, Sun 6-9",25,0.667065845918842
180,"Henry, Rylie","Graham","MO",40.2,-95,"Tue 12-3, Tue 6-9, Thu 6-9",11,0.7682680307189
181,"Gardner, Brittany","Ecorse","MI",42.25,-83.14,"Thu 6-9, Mon 6-9, Sat 6-9",12,0.68401232373435
182,"Costello, Ashley","New York","NY",40.8,-73.93,"Thu 6-9, Fri 9-12, Mon 12-3",26,0.691431675455533
183,"Murphy, Alexis","Springfield","MA",NA,NA,"Wed 3-6, Wed 3-6, Sun 9-12",13,0.906349541735835
184,"Moua, Kristen","Georgetown","SC",33.4,-79.4,"Sun 3-6, Sat 12-3, Fri 12-3",26,0.843838200089522
185,"Delacruz Conchas, Gregory","Dingle","ID",42.22,-111.266,"Sat 12-3, Sun 6-9, Tue 9-12",14,0.83228371758014
186,"Pacheco, Christian","Odum","GA",31.7,-82.1,"Wed 12-3, Tue 9-12",10,0.933371797436848
187,"Blais, Schyeler","Allen Park","MI",42.26,-83.21,"Mon 9-12, Tue 12-3, Mon 9-12",13,0.997552531422116
188,"Sawyer, Sarah","Lengby","MN",47.4,-95.6,"Mon 9-12, Wed 6-9",26,0.637788233696483
189,"Lehr, Matthew","Saint Paul","MN",44.89,-93.11,"Wed 9-12, Tue 9-12, Sun 6-9",27,0.68357805267442
190,"al-Dawood, Hiba","Glen Allen","AL",33.9,-87.8,"Fri 3-6, Thu 9-12, Mon 6-9",18,0.95772085885983
191,"Romero, Sergio","Powhattan","KS",39.75,-95.7,"Thu 9-12, Tue 6-9",21,0.677646823809482
192,"Wheatley, Ji Hoon","Florahome","FL",29.76,-81.86,"Tue 3-6, Thu 3-6",21,0.75180107075721
193,"Hopp, Erica","Marble Falls","AR",36.1,-93.2,"Thu 9-12, Wed 6-9",14,0.569306535529904
194,"Wright, Melissa","Leavittsburg","OH",41.24,-80.91,"Tue 6-9, Tue 6-9, Sun 6-9",24,0.648498507682234
195,"Fessler, Helen","Phoenix","AZ",33.69,-111.95,"Mon 6-9, Sat 9-12",25,0.785791438422166
196,"Ravisankar, Joshua","South Dayton","NY",42.4,-79.1,"Sat 12-3, Wed 12-3",21,0.946804342092946
197,"Celestino, Michael","Jackson","TN",NA,NA,"Mon 12-3, Wed 9-12, Fri 3-6",14,0.787595718633384
198,"Jimenez, Jordana","Galveston","TX",29.2,-95,"Mon 9-12, Tue 6-9, Sun 12-3",26,0.88946661085356
199,"Ramirez Jimenez, Leonardo","Ehrhardt","SC",33.1,-81,"Mon 6-9, Sun 12-3",28,0.616955003817566
200,"Acker, Lechaea","Cincinnati","OH",39.15,-84.52,"Sun 9-12, Tue 6-9, Mon 3-6",15,0.748619363992475
201,"Birks, Sean","Murrayville","IL",39.6,-90.2,"Wed 12-3, Sun 9-12, Fri 3-6",24,0.552819285891019
202,"Tagawa, Samantha","Salem","IN",38.6,-86.1,"Sat 6-9, Tue 6-9, Tue 12-3",17,0.667368336813524
203,"Kingman, Alec","Newcomb","NM",36.4,-108.8,"Wed 6-9, Fri 12-3, Wed 3-6",24,0.961473585106432
204,"Jung, Vincent","Mabank","TX",32.28,-96.1,"Thu 6-9, Sat 3-6",23,0.85517993371468
205,"Castillo, Robert","Ona","WV",38.48,-82.22,"Wed 12-3, Mon 12-3, Wed 6-9",26,0.999946807161905
206,"al-Azer, Nada","Wakonda","SD",43,-97.1,"Sun 12-3, Sat 3-6",13,0.607250261702575
207,"Carmona, Daniel","Saint Petersburg","FL",27.79,-82.68,"Thu 9-12, Fri 3-6",24,0.71263096795883
208,"Jensen, Alexandria","Youngstown","OH",41.13,-80.62,"Fri 6-9, Mon 9-12, Thu 12-3",11,0.834091729368083
209,"Jimmerson, Jamonika","Neal","KS",37.834,-96.079,"Thu 3-6, Sun 6-9",16,0.754119812394492
210,"Ji, Jimin","Houston","TX",29.86,-95.34,"Fri 12-3, Tue 6-9, Fri 9-12",29,0.546435335301794
211,"Tran, Mira","Apopka","FL",NA,NA,"Thu 12-3, Mon 12-3, Fri 12-3",19,0.789880798431113
212,"Colson, Raja","Waterford","ME",44.2,-70.7,"Sun 6-9, Sat 6-9",26,0.924864258733578
213,"al-Abu, Warda","Condon","OR",45.3,-120.2,"Wed 9-12, Sun 9-12",16,0.789185610017739
214,"Penn, Sarah","What Cheer","IA",41.4,-92.4,"Wed 9-12, Fri 12-3",12,0.987639914616011
215,"Ordanza, Benjamin","Blocksburg","CA",40.3,-123.7,"Fri 3-6, Thu 6-9",14,0.867233649245463
216,"el-Mohammed, Haniyya","Oklahoma City","OK",35.57,-97.41,"Sun 12-3, Sat 6-9, Sat 6-9",29,0.820016704616137
217,"Delgado-Manzanares, Joshua","Centerton","AR",36.37,-94.29,"Fri 6-9, Tue 12-3",26,0.673204168793745
218,"Doss, Lamont","Kings Canyon National Pk","CA",36.9,-118.7,"Tue 3-6, Sat 3-6, Sun 6-9",10,0.952575282659382
219,"al-Minhas, Aarif","Delaware","OH",40.3,-83.1,"Thu 12-3, Sat 3-6",23,0.504553688806482
220,"al-Mohamad, Raaid","Rockport","MA",42.66,-70.61,"Sun 3-6, Sat 12-3, Thu 6-9",28,0.515697323251516
221,"Bernard, Dominique","Susan","VA",37.35,-76.3,"Sun 6-9, Wed 9-12",13,0.92812169122044
222,"Davis, Xavier","Mosby","MO",NA,NA,"Tue 9-12, Wed 6-9, Mon 6-9",18,0.506812968640588
223,"Hernandez, Yvonne","East Northport","NY",40.86,-73.32,"Fri 12-3, Tue 9-12",19,0.795670658582821
224,"el-Mousa, Ghaaziya","Norfolk","VA",36.87,-76.29,"Wed 3-6, Wed 9-12, Wed 3-6",27,0.9656947334297
225,"Chapa, Joseph","Stewartville","MN",43.9,-92.5,"Sun 6-9, Fri 3-6",20,0.789722322486341
