"volunteer_id","name","major_city","state","skills","availability"
15,"Roque Torres, Jesus","Forest Hill","LA","Senior center activities organization, Mental wellness support (non-clinical), Legal assistance referrals, Mental wellness support (non-clinical), Volunteer coordination, Home accessibility modifications, Arts and crafts instruction","Mon 9-12, Tue 14-17"
16,"Ha, Ashley","Shreveport","LA","Meal preparation and cooking, Arts and crafts instruction, Assistive technology training, Walking and exercise assistance, Social event planning, Pet care (walking, feeding)","Mon 9-12, Tue 14-17"
17,"Yan, David","Dupo","IL","Fall prevention assistance, Walking and exercise assistance, Pet care (walking, feeding), Minor home repairs (plumbing, electrical), Meal preparation and cooking","Mon 9-12, Mon 9-12, Mon 9-12"
18,"el-Noorani, Naazil","Harvey","AR","Arts and crafts instruction, Volunteer coordination, Personal care assistance (dressing, bathing), Music and entertainment (playing instruments, singing), Gardening and yard work","Mon 9-12, Tue 14-17"
19,"Stewart, Pyung","Castleberry","AL","Assistive technology training","Tue 14-17, Mon 9-12, Tue 14-17"
20,"Nededog, Niko","New Orleans","LA","Home safety assessments, Financial management assistance (budgeting), Legal assistance referrals, Walking and exercise assistance","Mon 9-12, Mon 9-12"
21,"Perkins, Tre","Kyle","SD","Reading aloud (books, newspapers), Respite care (for family caregivers), Reading aloud (books, newspapers), Home safety assessments","Tue 14-17, Tue 14-17, Mon 9-12"
22,"Strong, Benjamin","Bridgeport","CT","Playing games (cards, board games), Grocery shopping assistance","Tue 14-17, Mon 9-12"
23,"Schneider, Colin","Veyo","UT","Music and entertainment (playing instruments, singing), Tech support (computers, phones, tablets), Travel companionship, Arts and crafts instruction, Mental wellness support (non-clinical), Financial management assistance (budgeting), Walking and exercise assistance, Playing games (cards, board games)","Tue 14-17, Tue 14-17, Mon 9-12"
24,"Maestas, Ashley","Johnson City","NY","Assistive technology training, Music and entertainment (playing instruments, singing)","Mon 9-12, Tue 14-17"
25,"al-Ahmadi, Tahleela","Grandview","WA","Pet care (walking, feeding), Gardening and yard work, Reading aloud (books, newspapers), Respite care (for family caregivers)","Mon 9-12, Mon 9-12"
26,"Tesfamariam, Imane","Brooklyn","NY","Travel companionship, Playing games (cards, board games), Volunteer coordination, Running errands (post office, pharmacy), Arts and crafts instruction, Minor home repairs (plumbing, electrical), Legal assistance referrals, Financial management assistance (budgeting)","Tue 14-17, Tue 14-17, Tue 14-17"
27,"el-Moustafa, Ghazaala","Augusta","KS","Mental wellness support (non-clinical), Home safety assessments, Reading aloud (books, newspapers), Walking and exercise assistance, Transportation (driving, accompanying), Minor home repairs (plumbing, electrical)","Tue 14-17, Mon 9-12"
28,"el-Rahmani, Abdul Jabbaar","Union","KY","Senior center activities organization, Travel companionship, Medication reminders (non-medical), Fall prevention assistance, Medication reminders (non-medical), Music and entertainment (playing instruments, singing)","Tue 14-17, Mon 9-12, Tue 14-17"
29,"Tarin, Mark","Seaford","DE","Housekeeping and cleaning, Mental wellness support (non-clinical), Gardening and yard work, Reading aloud (books, newspapers), Companionship (social outings, visits)","Tue 14-17, Mon 9-12"
30,"Lutter, Smriti","Bomoseen","VT","Financial management assistance (budgeting), Housekeeping and cleaning, Volunteer coordination, Tech support (computers, phones, tablets), Housekeeping and cleaning","Tue 14-17, Mon 9-12"
31,"Barela, Marcus","New Braunfels","TX","Arts and crafts instruction, Arts and crafts instruction, Medication reminders (non-medical), Playing games (cards, board games), Running errands (post office, pharmacy), Meal preparation and cooking, Arts and crafts instruction","Mon 9-12, Mon 9-12"
32,"Holman, Omar","Austin","TX","Mental wellness support (non-clinical), Personal care assistance (dressing, bathing)","Mon 9-12, Mon 9-12"
33,"Kanherkar, Darlene","Sedalia","IN","Playing games (cards, board games), Tech support (computers, phones, tablets), Personal care assistance (dressing, bathing), Travel companionship, Minor home repairs (plumbing, electrical), Home safety assessments, Home safety assessments, Pet care (walking, feeding)","Mon 9-12, Tue 14-17"
34,"Seiler, Amber","Bridgeville","PA","Walking and exercise assistance","Tue 14-17, Tue 14-17"
35,"al-Soliman, Naseeba","Madison","SD","Reading aloud (books, newspapers), Senior center activities organization, Mental wellness support (non-clinical), Assistive technology training, Volunteer coordination, Walking and exercise assistance","Tue 14-17, Mon 9-12, Tue 14-17"
36,"el-Shehadeh, Waail","Lamar","MS","Transportation (driving, accompanying), Minor home repairs (plumbing, electrical), Playing games (cards, board games), Gardening and yard work","Tue 14-17, Mon 9-12"
37,"Lubiani, Tristan","Sonora","CA","Grocery shopping assistance, Reading aloud (books, newspapers)","Mon 9-12, Tue 14-17"
38,"Navarrete, Ania","Elton","WV","Home safety assessments","Tue 14-17, Tue 14-17"
39,"Dreiling, Olivia","El Paso","TX","Tech support (computers, phones, tablets), Senior center activities organization","Mon 9-12, Tue 14-17"
40,"Howard, Micah","Omer","MI","Music and entertainment (playing instruments, singing), Home accessibility modifications, Minor home repairs (plumbing, electrical), Medication reminders (non-medical), Meal preparation and cooking, Pet care (walking, feeding), Pet care (walking, feeding)","Mon 9-12, Mon 9-12, Mon 9-12"
41,"Roberts, Herman","Willow Wood","OH","Senior center activities organization, Playing games (cards, board games), Reading aloud (books, newspapers), Arts and crafts instruction, Respite care (for family caregivers), Gardening and yard work, Home safety assessments","Mon 9-12, Mon 9-12"
42,"Moimoi, Modassar","Macon","GA","Pet care (walking, feeding), Educational program development, Respite care (for family caregivers), Reading aloud (books, newspapers), Fall prevention assistance","Mon 9-12, Mon 9-12, Mon 9-12"
43,"Cook, Michael","Davis Wharf","VA","Housekeeping and cleaning, Medication reminders (non-medical), Social event planning, Tech support (computers, phones, tablets)","Tue 14-17, Mon 9-12"
44,"Li, Lawrence","Experiment","GA","Music and entertainment (playing instruments, singing), Volunteer coordination, Legal assistance referrals, Meal preparation and cooking, Legal assistance referrals, Running errands (post office, pharmacy), Assistive technology training","Tue 14-17, Mon 9-12, Tue 14-17"
45,"Otgontulga, Henley","Houston","TX","Housekeeping and cleaning, Senior center activities organization, Medication reminders (non-medical), Pet care (walking, feeding), Personal care assistance (dressing, bathing)","Mon 9-12, Tue 14-17"
46,"White, Richard","Selman City","TX","Housekeeping and cleaning, Financial management assistance (budgeting), Tech support (computers, phones, tablets)","Mon 9-12, Mon 9-12"
47,"Grant, Mckaylin","Summit","MS","Home accessibility modifications, Mental wellness support (non-clinical), Pet care (walking, feeding), Arts and crafts instruction, Grocery shopping assistance, Medication reminders (non-medical), Pet care (walking, feeding), Housekeeping and cleaning","Mon 9-12, Mon 9-12, Tue 14-17"
48,"Monasco, Randy","Orlando","FL","Housekeeping and cleaning, Music and entertainment (playing instruments, singing), Playing games (cards, board games), Medication reminders (non-medical), Running errands (post office, pharmacy)","Tue 14-17, Tue 14-17"
49,"Tran, Clara","Wright","WY","Meal preparation and cooking","Tue 14-17, Tue 14-17"
50,"al-Salame, Rushdi","Bulverde","TX","Gardening and yard work, Senior center activities organization, Travel companionship, Music and entertainment (playing instruments, singing), Volunteer coordination, Gardening and yard work, Meal preparation and cooking, Playing games (cards, board games)","Mon 9-12, Tue 14-17, Tue 14-17"
51,"al-Huq, Zameel","Fort Worth","TX","Respite care (for family caregivers), Pet care (walking, feeding), Grocery shopping assistance, Home accessibility modifications, Financial management assistance (budgeting)","Tue 14-17, Tue 14-17, Tue 14-17"
52,"Gudavalli, John","Mc Grath","AK","Personal care assistance (dressing, bathing), Legal assistance referrals, Personal care assistance (dressing, bathing), Walking and exercise assistance, Housekeeping and cleaning, Financial management assistance (budgeting), Pet care (walking, feeding), Playing games (cards, board games)","Tue 14-17, Tue 14-17"
53,"Waneka, Mckenzie","Rowena","SD","Mental wellness support (non-clinical), Companionship (social outings, visits), Playing games (cards, board games), Reading aloud (books, newspapers)","Mon 9-12, Mon 9-12"
54,"Alvarado, Nikolas","Greenwood","ME","Respite care (for family caregivers), Volunteer coordination, Housekeeping and cleaning, Financial management assistance (budgeting), Personal care assistance (dressing, bathing), Volunteer coordination","Tue 14-17, Tue 14-17, Mon 9-12"
55,"Rodriguez, Felicia","Prescott Valley","AZ","Volunteer coordination, Travel companionship, Assistive technology training","Tue 14-17, Mon 9-12"
56,"Pitts, Lashantarica","Mount Pleasant","MI","Assistive technology training","Tue 14-17, Mon 9-12"
57,"al-Beshara, Faadi","Escondido","CA","Arts and crafts instruction, Senior center activities organization","Tue 14-17, Mon 9-12, Tue 14-17"
58,"Mayta, Diana","Springfield","VA","Travel companionship, Legal assistance referrals, Social event planning, Assistive technology training, Respite care (for family caregivers), Social event planning, Music and entertainment (playing instruments, singing)","Tue 14-17, Tue 14-17, Tue 14-17"
59,"Musick-Occhiuto, Hunter","Grand Terrace","CA","Respite care (for family caregivers), Respite care (for family caregivers), Mental wellness support (non-clinical), Fall prevention assistance, Reading aloud (books, newspapers)","Tue 14-17, Tue 14-17, Tue 14-17"
60,"Fitzsimmons, Alyssia","Walling","TN","Home accessibility modifications, Playing games (cards, board games), Mental wellness support (non-clinical)","Tue 14-17, Mon 9-12, Mon 9-12"
61,"Tricarico, Peter","Whitehall","PA","Grocery shopping assistance, Walking and exercise assistance","Tue 14-17, Tue 14-17"
62,"Park, Austin","Milwaukee","WI","Respite care (for family caregivers), Senior center activities organization, Housekeeping and cleaning, Senior center activities organization, Transportation (driving, accompanying), Pet care (walking, feeding), Pet care (walking, feeding)","Mon 9-12, Tue 14-17"
63,"Garcia, Lorenzo","Helena","MT","Tech support (computers, phones, tablets), Playing games (cards, board games), Legal assistance referrals, Financial management assistance (budgeting), Tech support (computers, phones, tablets), Arts and crafts instruction, Home safety assessments, Reading aloud (books, newspapers)","Tue 14-17, Tue 14-17, Tue 14-17"
64,"Bosquez, Michelle","Carolina","PR","Legal assistance referrals, Home accessibility modifications, Travel companionship, Financial management assistance (budgeting), Grocery shopping assistance, Tech support (computers, phones, tablets), Tech support (computers, phones, tablets)","Tue 14-17, Mon 9-12, Tue 14-17"
65,"Price, Ahanabah","Sun City Center","FL","Medication reminders (non-medical), Grocery shopping assistance, Housekeeping and cleaning, Legal assistance referrals, Meal preparation and cooking, Respite care (for family caregivers)","Mon 9-12, Mon 9-12"
66,"Ruiz, Markus","Jonesville","VT","Transportation (driving, accompanying), Social event planning, Meal preparation and cooking, Housekeeping and cleaning","Tue 14-17, Tue 14-17, Tue 14-17"
67,"Bobian, Jesus","Kintnersville","PA","Fall prevention assistance, Travel companionship","Mon 9-12, Tue 14-17, Mon 9-12"
68,"el-Baten, Majeeda","Chewsville","MD","Travel companionship, Social event planning, Assistive technology training, Financial management assistance (budgeting), Walking and exercise assistance, Arts and crafts instruction, Personal care assistance (dressing, bathing), Medication reminders (non-medical)","Tue 14-17, Mon 9-12"
69,"al-Habibi, Thaabita","Crystal Springs","MS","Home accessibility modifications, Pet care (walking, feeding)","Tue 14-17, Tue 14-17, Mon 9-12"
70,"Macasinag, Aman","Plainfield","VT","Respite care (for family caregivers), Meal preparation and cooking","Tue 14-17, Mon 9-12, Tue 14-17"
71,"Memmer, Morgan","Leavenworth","WA","Senior center activities organization, Volunteer coordination, Legal assistance referrals, Transportation (driving, accompanying), Fall prevention assistance, Transportation (driving, accompanying), Pet care (walking, feeding)","Mon 9-12, Mon 9-12"
72,"Martinez, Amber","Andover","SD","Legal assistance referrals, Mental wellness support (non-clinical)","Tue 14-17, Mon 9-12"
73,"Martinez, Juanita","Ashtabula","OH","Pet care (walking, feeding), Meal preparation and cooking, Personal care assistance (dressing, bathing), Arts and crafts instruction, Meal preparation and cooking, Transportation (driving, accompanying), Walking and exercise assistance, Meal preparation and cooking","Mon 9-12, Mon 9-12, Mon 9-12"
74,"Lenon, John","Allentown","PA","Gardening and yard work, Music and entertainment (playing instruments, singing), Legal assistance referrals","Tue 14-17, Mon 9-12"
75,"White, Alexia","Patrick Afb","FL","Social event planning, Medication reminders (non-medical), Housekeeping and cleaning","Mon 9-12, Tue 14-17, Tue 14-17"
76,"al-Popal, Jareer","Costilla","NM","Senior center activities organization","Mon 9-12, Mon 9-12, Mon 9-12"
77,"Metivier, Jeremiah","Lake City","SC","Running errands (post office, pharmacy), Minor home repairs (plumbing, electrical), Financial management assistance (budgeting), Tech support (computers, phones, tablets)","Tue 14-17, Mon 9-12, Tue 14-17"
78,"Narantuya, Mitchell","Arlington","VA","Legal assistance referrals, Pet care (walking, feeding), Social event planning, Meal preparation and cooking, Legal assistance referrals, Tech support (computers, phones, tablets)","Tue 14-17, Mon 9-12"
79,"Jones, Hunter","Chaseburg","WI","Walking and exercise assistance, Assistive technology training, Home accessibility modifications, Respite care (for family caregivers), Home accessibility modifications, Fall prevention assistance, Medication reminders (non-medical)","Tue 14-17, Tue 14-17, Tue 14-17"
80,"el-Hoda, Yoosuf","Spring Church","PA","Grocery shopping assistance, Transportation (driving, accompanying), Housekeeping and cleaning, Volunteer coordination, Tech support (computers, phones, tablets), Minor home repairs (plumbing, electrical), Walking and exercise assistance, Gardening and yard work","Mon 9-12, Tue 14-17, Tue 14-17"
81,"Song, Nicholas","Lawndale","CA","Housekeeping and cleaning, Travel companionship, Travel companionship, Legal assistance referrals, Mental wellness support (non-clinical), Medication reminders (non-medical), Reading aloud (books, newspapers)","Mon 9-12, Tue 14-17, Mon 9-12"
82,"el-Amara, Muneera","Princeton Junction","NJ","Tech support (computers, phones, tablets), Meal preparation and cooking, Medication reminders (non-medical), Running errands (post office, pharmacy), Legal assistance referrals, Fall prevention assistance","Tue 14-17, Mon 9-12"
83,"Yang, Victoria","Carson","MS","Pet care (walking, feeding), Companionship (social outings, visits)","Tue 14-17, Mon 9-12, Mon 9-12"
84,"Almazbek, Lia","Barnum","MN","Reading aloud (books, newspapers)","Tue 14-17, Mon 9-12, Mon 9-12"
85,"el-Nasser, Saabir","Metairie","LA","Grocery shopping assistance, Medication reminders (non-medical), Tech support (computers, phones, tablets), Respite care (for family caregivers)","Mon 9-12, Mon 9-12"
86,"el-Hafeez, Aiman","Wells River","VT","Walking and exercise assistance, Mental wellness support (non-clinical), Minor home repairs (plumbing, electrical), Meal preparation and cooking, Senior center activities organization, Transportation (driving, accompanying)","Mon 9-12, Tue 14-17"
87,"Mcdonald, Naaamorkor","Salt Lake City","UT","Minor home repairs (plumbing, electrical), Educational program development, Travel companionship, Reading aloud (books, newspapers), Travel companionship","Mon 9-12, Mon 9-12"
88,"Patton, Ronald","Iowa City","IA","Respite care (for family caregivers), Home safety assessments, Respite care (for family caregivers), Social event planning, Financial management assistance (budgeting), Walking and exercise assistance","Tue 14-17, Mon 9-12, Mon 9-12"
89,"Chavez, Melchro","Mcalester","OK","Grocery shopping assistance","Tue 14-17, Tue 14-17"
90,"Rith, Ribkha","Springfield","MO","Mental wellness support (non-clinical)","Mon 9-12, Mon 9-12, Tue 14-17"
91,"Roberts, Anddi","Payson","UT","Personal care assistance (dressing, bathing), Social event planning, Pet care (walking, feeding), Transportation (driving, accompanying), Gardening and yard work, Senior center activities organization, Respite care (for family caregivers)","Tue 14-17, Mon 9-12, Mon 9-12"
92,"Ruckstuhl, Daniel","Mulkeytown","IL","Educational program development","Tue 14-17, Tue 14-17, Mon 9-12"
93,"Carrigan, Bach","Cross Plains","TX","Playing games (cards, board games), Housekeeping and cleaning","Tue 14-17, Tue 14-17"
94,"Alam, Kush","Austin","NV","Meal preparation and cooking","Mon 9-12, Tue 14-17"
95,"el-Assad, Maleeka","Linkwood","MD","Companionship (social outings, visits), Reading aloud (books, newspapers), Personal care assistance (dressing, bathing)","Mon 9-12, Tue 14-17, Tue 14-17"
96,"al-Abu, Aqeela","Allardt","TN","Walking and exercise assistance, Companionship (social outings, visits), Medication reminders (non-medical)","Mon 9-12, Tue 14-17"
97,"al-Yousef, Zayyaan","Pullman","WA","Legal assistance referrals, Pet care (walking, feeding), Gardening and yard work, Fall prevention assistance","Tue 14-17, Mon 9-12, Tue 14-17"
98,"Culpepper, Keeley","Webster","WI","Legal assistance referrals, Social event planning, Grocery shopping assistance, Gardening and yard work, Pet care (walking, feeding)","Mon 9-12, Mon 9-12"
99,"Michalski, Shane","City Of Industry","CA","Music and entertainment (playing instruments, singing), Music and entertainment (playing instruments, singing), Senior center activities organization, Home safety assessments, Respite care (for family caregivers), Medication reminders (non-medical), Companionship (social outings, visits), Personal care assistance (dressing, bathing)","Tue 14-17, Mon 9-12, Mon 9-12"
100,"Pannell, Kristan","East Berne","NY","Medication reminders (non-medical)","Mon 9-12, Tue 14-17"
101,"Jayachandra, Benjamin","Topeka","KS","Mental wellness support (non-clinical), Grocery shopping assistance","Mon 9-12, Mon 9-12"
102,"Bell, Taylor","Casper","WY","Tech support (computers, phones, tablets), Meal preparation and cooking, Running errands (post office, pharmacy), Mental wellness support (non-clinical)","Tue 14-17, Mon 9-12"
103,"Gamboa, Luis","North Thetford","VT","Arts and crafts instruction, Minor home repairs (plumbing, electrical), Legal assistance referrals, Music and entertainment (playing instruments, singing), Mental wellness support (non-clinical), Pet care (walking, feeding), Meal preparation and cooking","Mon 9-12, Tue 14-17, Mon 9-12"
104,"Ghoram, Patience","Glendora","NJ","Financial management assistance (budgeting), Assistive technology training, Volunteer coordination, Medication reminders (non-medical), Tech support (computers, phones, tablets), Meal preparation and cooking","Tue 14-17, Mon 9-12, Mon 9-12"
105,"Otgontulga, Kaitlin","Panther","WV","Music and entertainment (playing instruments, singing), Legal assistance referrals, Fall prevention assistance, Transportation (driving, accompanying)","Tue 14-17, Mon 9-12"
106,"Burrell, Luc","Friedensburg","PA","Transportation (driving, accompanying), Reading aloud (books, newspapers), Pet care (walking, feeding)","Tue 14-17, Mon 9-12"
107,"Duffie, Madeline","Langley","AR","Transportation (driving, accompanying), Transportation (driving, accompanying), Music and entertainment (playing instruments, singing), Tech support (computers, phones, tablets)","Mon 9-12, Mon 9-12"
108,"el-Bina, Zubair","Meriden","IA","Medication reminders (non-medical), Volunteer coordination, Social event planning, Tech support (computers, phones, tablets)","Tue 14-17, Mon 9-12"
109,"Casciato, Nicole","Riverside","CA","Grocery shopping assistance, Legal assistance referrals, Fall prevention assistance","Mon 9-12, Mon 9-12, Tue 14-17"
110,"Nguyen, Brandon","Scotland","TX","Fall prevention assistance","Tue 14-17, Mon 9-12, Mon 9-12"
111,"Nash, Caitlyn","Douglas","WY","Reading aloud (books, newspapers)","Mon 9-12, Tue 14-17"
112,"el-Khan, Sanad","Decatur","GA","Fall prevention assistance, Mental wellness support (non-clinical), Legal assistance referrals, Minor home repairs (plumbing, electrical), Meal preparation and cooking, Music and entertainment (playing instruments, singing)","Mon 9-12, Mon 9-12"
113,"al-Diab, Iffat","Wellsville","MO","Fall prevention assistance, Volunteer coordination, Home safety assessments, Legal assistance referrals, Gardening and yard work, Grocery shopping assistance, Minor home repairs (plumbing, electrical)","Mon 9-12, Tue 14-17, Mon 9-12"
114,"Iwane, Jason","Catonsville","MD","Walking and exercise assistance, Home safety assessments, Assistive technology training, Transportation (driving, accompanying), Running errands (post office, pharmacy), Playing games (cards, board games), Social event planning","Mon 9-12, Mon 9-12, Mon 9-12"
115,"el-Allee, Musheer","Gatesville","TX","Transportation (driving, accompanying), Gardening and yard work, Respite care (for family caregivers), Grocery shopping assistance","Tue 14-17, Mon 9-12"
116,"Xiong, Brian","Early","IA","Respite care (for family caregivers), Running errands (post office, pharmacy), Respite care (for family caregivers)","Mon 9-12, Mon 9-12"
117,"Puchi, Jeramy","Weare","NH","Transportation (driving, accompanying), Gardening and yard work, Social event planning, Playing games (cards, board games), Mental wellness support (non-clinical), Transportation (driving, accompanying), Senior center activities organization, Fall prevention assistance","Mon 9-12, Tue 14-17"
118,"el-Sahli, Sufyaan","Silverdale","PA","Home safety assessments, Medication reminders (non-medical)","Mon 9-12, Tue 14-17, Mon 9-12"
119,"Harris, Justin","Graniteville","SC","Legal assistance referrals, Music and entertainment (playing instruments, singing), Mental wellness support (non-clinical), Home safety assessments, Educational program development, Travel companionship, Playing games (cards, board games), Housekeeping and cleaning","Mon 9-12, Tue 14-17"
120,"Simmons, Jami","Scammon Bay","AK","Medication reminders (non-medical), Tech support (computers, phones, tablets)","Mon 9-12, Tue 14-17, Tue 14-17"
121,"Yacubu, Demarco","Norwood","MA","Transportation (driving, accompanying), Senior center activities organization, Mental wellness support (non-clinical)","Tue 14-17, Mon 9-12, Mon 9-12"
122,"Hancock, Deon","Forest Hills","KY","Arts and crafts instruction, Medication reminders (non-medical), Social event planning, Social event planning, Financial management assistance (budgeting)","Tue 14-17, Tue 14-17"
123,"Tharpe, Cody","Duplessis","LA","Mental wellness support (non-clinical), Running errands (post office, pharmacy), Personal care assistance (dressing, bathing), Respite care (for family caregivers), Social event planning, Educational program development","Mon 9-12, Mon 9-12"
124,"Trujillo, Brenda","San Bernardino","CA","Running errands (post office, pharmacy), Home safety assessments, Medication reminders (non-medical), Respite care (for family caregivers), Assistive technology training, Transportation (driving, accompanying)","Mon 9-12, Tue 14-17"
125,"el-Mina, Ariyya","Washington","DC","Housekeeping and cleaning, Reading aloud (books, newspapers), Arts and crafts instruction, Personal care assistance (dressing, bathing), Medication reminders (non-medical), Walking and exercise assistance","Tue 14-17, Mon 9-12, Mon 9-12"
126,"Lafferty, Corie","Carefree","AZ","Educational program development, Mental wellness support (non-clinical)","Tue 14-17, Tue 14-17, Tue 14-17"
127,"el-Jabbar, Faseeha","Clyo","GA","Mental wellness support (non-clinical), Legal assistance referrals, Home safety assessments, Pet care (walking, feeding), Housekeeping and cleaning, Medication reminders (non-medical), Arts and crafts instruction","Tue 14-17, Tue 14-17"
128,"el-Ahsan, Hishma","Warwick","RI","Meal preparation and cooking, Mental wellness support (non-clinical), Transportation (driving, accompanying)","Tue 14-17, Mon 9-12, Mon 9-12"
129,"Cayou, James","Lehigh Acres","FL","Arts and crafts instruction, Home accessibility modifications, Companionship (social outings, visits), Social event planning, Arts and crafts instruction","Tue 14-17, Tue 14-17"
130,"Barcelon, Joseline","Anniston","AL","Music and entertainment (playing instruments, singing), Grocery shopping assistance, Housekeeping and cleaning, Minor home repairs (plumbing, electrical), Social event planning, Assistive technology training, Home safety assessments, Playing games (cards, board games)","Mon 9-12, Tue 14-17"
131,"Peyfuss, Mara","Julian","NC","Respite care (for family caregivers), Senior center activities organization, Transportation (driving, accompanying)","Tue 14-17, Tue 14-17, Mon 9-12"
132,"Vasquez, Jesse","Seiling","OK","Legal assistance referrals, Tech support (computers, phones, tablets), Travel companionship, Volunteer coordination, Travel companionship, Home accessibility modifications","Mon 9-12, Mon 9-12, Mon 9-12"
133,"Agbim, Nichelle","Amsterdam","OH","Tech support (computers, phones, tablets), Companionship (social outings, visits), Social event planning, Playing games (cards, board games), Playing games (cards, board games), Arts and crafts instruction","Mon 9-12, Mon 9-12"
134,"el-Kazi, Faai Z","Great Meadows","NJ","Running errands (post office, pharmacy), Financial management assistance (budgeting), Gardening and yard work, Walking and exercise assistance, Mental wellness support (non-clinical), Volunteer coordination, Home accessibility modifications, Senior center activities organization","Mon 9-12, Mon 9-12, Tue 14-17"
135,"Ross, Stephon","Hualapai","AZ","Assistive technology training, Transportation (driving, accompanying), Travel companionship, Pet care (walking, feeding), Volunteer coordination, Mental wellness support (non-clinical), Mental wellness support (non-clinical)","Mon 9-12, Tue 14-17, Mon 9-12"
136,"Hill, Antonio","Wichita","KS","Educational program development, Music and entertainment (playing instruments, singing), Running errands (post office, pharmacy), Companionship (social outings, visits), Transportation (driving, accompanying), Respite care (for family caregivers)","Tue 14-17, Tue 14-17, Mon 9-12"
137,"Villeda, Guadalupe","Noyes","MN","Minor home repairs (plumbing, electrical), Reading aloud (books, newspapers), Meal preparation and cooking, Senior center activities organization","Mon 9-12, Mon 9-12, Tue 14-17"
138,"al-Latif, Awaatif","Talent","OR","Music and entertainment (playing instruments, singing), Pet care (walking, feeding), Music and entertainment (playing instruments, singing), Home safety assessments, Assistive technology training, Personal care assistance (dressing, bathing), Educational program development","Tue 14-17, Tue 14-17, Mon 9-12"
139,"Carter, Haley","Termo","CA","Tech support (computers, phones, tablets), Fall prevention assistance","Tue 14-17, Tue 14-17"
140,"Thompson, Larae","Maryland Line","MD","Volunteer coordination, Social event planning, Senior center activities organization","Mon 9-12, Mon 9-12"
141,"Brockel, Candace","Francisco","IN","Playing games (cards, board games), Walking and exercise assistance, Arts and crafts instruction, Financial management assistance (budgeting)","Tue 14-17, Mon 9-12, Tue 14-17"
142,"Peluso, Archik","Frankfort","KY","Music and entertainment (playing instruments, singing), Meal preparation and cooking, Pet care (walking, feeding), Personal care assistance (dressing, bathing), Educational program development, Home safety assessments, Medication reminders (non-medical)","Mon 9-12, Tue 14-17, Mon 9-12"
143,"Ubungen Miller, Johnnie","Plano","TX","Volunteer coordination, Companionship (social outings, visits), Assistive technology training, Medication reminders (non-medical), Respite care (for family caregivers), Social event planning, Companionship (social outings, visits), Grocery shopping assistance","Mon 9-12, Tue 14-17, Tue 14-17"
